-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2013 through 12/31/2019 
Location: Latitude  27.6667   Longitude 85.35 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 1653.16 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
WS50M_MAX MERRA2 1/2x1/2 Maximum Wind Speed at 50 Meters (m/s) 
WS10M_MIN MERRA2 1/2x1/2 Minimum Wind Speed at 10 Meters (m/s) 
WS50M_RANGE MERRA2 1/2x1/2 Wind Speed Range at 50 Meters (m/s) 
WS10M_MAX MERRA2 1/2x1/2 Maximum Wind Speed at 10 Meters (m/s) 
WS50M MERRA2 1/2x1/2 Wind Speed at 50 Meters (m/s) 
WS10M_RANGE MERRA2 1/2x1/2 Wind Speed Range at 10 Meters (m/s) 
WS10M MERRA2 1/2x1/2 Wind Speed at 10 Meters (m/s) 
WS50M_MIN MERRA2 1/2x1/2 Minimum Wind Speed at 50 Meters (m/s) 
-END HEADER-
LAT,LON,YEAR,MO,DY,WS50M_RANGE,WS10M_RANGE,WS50M_MIN,WS10M_MIN,WS50M_MAX,WS10M_MAX,WS50M,WS10M
27.66671,85.35001,2013,01,01,    2.36,    3.35,    0.91,    0.67,    3.27,    4.02,    1.64,    1.61
27.66671,85.35001,2013,01,02,    1.91,    2.64,    0.90,    0.64,    2.82,    3.29,    1.57,    1.47
27.66671,85.35001,2013,01,03,    2.92,    3.33,    1.28,    1.08,    4.20,    4.41,    2.27,    1.99
27.66671,85.35001,2013,01,04,    2.57,    3.26,    1.89,    1.26,    4.46,    4.51,    2.91,    2.38
27.66671,85.35001,2013,01,05,    1.94,    2.69,    1.57,    1.05,    3.51,    3.74,    2.50,    2.08
27.66671,85.35001,2013,01,06,    1.85,    2.49,    1.36,    1.04,    3.21,    3.54,    2.22,    1.95
27.66671,85.35001,2013,01,07,    3.25,    3.90,    1.84,    1.19,    5.10,    5.09,    3.06,    2.48
27.66671,85.35001,2013,01,08,    3.06,    3.84,    1.32,    0.96,    4.38,    4.80,    2.54,    2.25
27.66671,85.35001,2013,01,09,    3.45,    4.16,    0.54,    0.40,    3.99,    4.56,    1.95,    1.82
27.66671,85.35001,2013,01,10,    3.13,    3.98,    0.51,    0.44,    3.64,    4.42,    1.64,    1.67
27.66671,85.35001,2013,01,11,    3.05,    3.47,    0.41,    0.50,    3.45,    3.98,    1.57,    1.57
27.66671,85.35001,2013,01,12,    2.09,    3.16,    1.16,    0.83,    3.24,    3.99,    1.97,    1.92
27.66671,85.35001,2013,01,13,    3.15,    3.80,    0.26,    0.17,    3.42,    3.96,    1.80,    1.68
27.66671,85.35001,2013,01,14,    2.98,    3.78,    1.30,    0.89,    4.28,    4.68,    2.36,    2.15
27.66671,85.35001,2013,01,15,    3.00,    3.55,    0.86,    0.64,    3.85,    4.19,    2.16,    1.92
27.66671,85.35001,2013,01,16,    2.01,    2.68,    1.88,    1.32,    3.90,    4.00,    2.66,    2.24
27.66671,85.35001,2013,01,17,    2.60,    2.95,    1.45,    1.08,    4.04,    4.03,    2.49,    2.11
27.66671,85.35001,2013,01,18,    2.67,    2.90,    0.41,    0.31,    3.08,    3.21,    1.97,    1.69
27.66671,85.35001,2013,01,19,    4.91,    3.97,    0.64,    0.34,    5.55,    4.30,    2.78,    2.23
27.66671,85.35001,2013,01,20,    2.31,    2.84,    1.26,    1.05,    3.57,    3.89,    2.29,    2.04
27.66671,85.35001,2013,01,21,    1.59,    2.50,    1.87,    1.38,    3.46,    3.89,    2.45,    2.17
27.66671,85.35001,2013,01,22,    1.43,    2.16,    1.64,    1.36,    3.07,    3.52,    2.27,    2.08
27.66671,85.35001,2013,01,23,    2.07,    3.09,    2.16,    1.53,    4.22,    4.62,    2.89,    2.58
27.66671,85.35001,2013,01,24,    1.55,    2.28,    1.85,    1.41,    3.39,    3.69,    2.45,    2.12
27.66671,85.35001,2013,01,25,    2.65,    3.35,    1.82,    1.48,    4.47,    4.83,    2.86,    2.62
27.66671,85.35001,2013,01,26,    3.12,    4.04,    1.65,    1.20,    4.77,    5.24,    2.80,    2.53
27.66671,85.35001,2013,01,27,    2.87,    3.62,    1.61,    1.22,    4.48,    4.84,    2.55,    2.34
27.66671,85.35001,2013,01,28,    2.36,    3.00,    1.44,    0.99,    3.80,    3.99,    2.37,    2.12
27.66671,85.35001,2013,01,29,    1.94,    2.71,    1.28,    0.86,    3.22,    3.57,    2.03,    1.79
27.66671,85.35001,2013,01,30,    2.52,    3.50,    1.93,    1.39,    4.45,    4.89,    2.83,    2.59
27.66671,85.35001,2013,01,31,    2.43,    3.40,    1.28,    0.97,    3.72,    4.36,    2.34,    2.16
27.66671,85.35001,2013,02,01,    2.37,    2.86,    0.85,    0.50,    3.22,    3.37,    1.94,    1.69
27.66671,85.35001,2013,02,02,    1.80,    3.00,    1.61,    1.06,    3.41,    4.06,    2.37,    2.12
27.66671,85.35001,2013,02,03,    3.39,    4.39,    1.16,    0.84,    4.55,    5.23,    2.33,    2.20
27.66671,85.35001,2013,02,04,    1.86,    2.54,    0.98,    0.67,    2.84,    3.21,    1.85,    1.66
27.66671,85.35001,2013,02,05,    1.11,    1.68,    1.33,    0.93,    2.44,    2.61,    1.90,    1.62
27.66671,85.35001,2013,02,06,    2.16,    2.50,    1.72,    1.07,    3.88,    3.57,    2.52,    2.02
27.66671,85.35001,2013,02,07,    3.60,    4.66,    1.14,    0.47,    4.74,    5.13,    2.77,    2.21
27.66671,85.35001,2013,02,08,    2.69,    2.90,    1.03,    1.05,    3.72,    3.95,    2.42,    2.15
27.66671,85.35001,2013,02,09,    2.64,    3.57,    1.44,    1.07,    4.09,    4.64,    2.67,    2.50
27.66671,85.35001,2013,02,10,    2.20,    2.96,    2.00,    1.43,    4.21,    4.39,    2.69,    2.40
27.66671,85.35001,2013,02,11,    2.79,    3.57,    1.58,    1.17,    4.37,    4.74,    2.65,    2.38
27.66671,85.35001,2013,02,12,    2.54,    3.01,    1.92,    1.54,    4.46,    4.54,    3.04,    2.53
27.66671,85.35001,2013,02,13,    3.65,    4.02,    1.50,    1.08,    5.15,    5.10,    2.79,    2.39
27.66671,85.35001,2013,02,14,    2.94,    3.80,    1.99,    1.41,    4.93,    5.22,    2.97,    2.67
27.66671,85.35001,2013,02,15,    1.64,    1.98,    1.34,    1.04,    2.98,    3.02,    2.01,    1.68
27.66671,85.35001,2013,02,16,    2.95,    2.74,    1.19,    0.97,    4.14,    3.71,    2.76,    2.19
27.66671,85.35001,2013,02,17,    3.75,    2.70,    1.04,    0.86,    4.79,    3.56,    2.51,    2.02
27.66671,85.35001,2013,02,18,    2.74,    3.71,    1.80,    1.18,    4.54,    4.89,    2.94,    2.59
27.66671,85.35001,2013,02,19,    2.48,    3.55,    1.62,    1.05,    4.10,    4.60,    2.74,    2.47
27.66671,85.35001,2013,02,20,    2.94,    3.82,    1.75,    1.18,    4.69,    5.00,    2.84,    2.47
27.66671,85.35001,2013,02,21,    3.12,    3.88,    2.06,    1.44,    5.17,    5.32,    3.03,    2.73
27.66671,85.35001,2013,02,22,    1.48,    2.41,    2.11,    1.49,    3.59,    3.91,    2.65,    2.38
27.66671,85.35001,2013,02,23,    2.79,    3.09,    1.62,    1.48,    4.41,    4.56,    2.82,    2.47
27.66671,85.35001,2013,02,24,    2.01,    3.21,    2.00,    1.32,    4.02,    4.54,    2.96,    2.52
27.66671,85.35001,2013,02,25,    2.41,    3.48,    2.24,    1.48,    4.65,    4.96,    3.27,    2.90
27.66671,85.35001,2013,02,26,    2.52,    3.47,    2.17,    1.64,    4.69,    5.11,    3.07,    2.76
27.66671,85.35001,2013,02,27,    2.62,    3.14,    2.11,    1.62,    4.73,    4.76,    3.16,    2.71
27.66671,85.35001,2013,02,28,    4.91,    4.95,    1.68,    1.38,    6.60,    6.33,    3.73,    3.16
27.66671,85.35001,2013,03,01,    3.21,    4.09,    1.73,    1.32,    4.94,    5.42,    2.72,    2.53
27.66671,85.35001,2013,03,02,    2.61,    3.68,    1.71,    1.26,    4.32,    4.93,    2.68,    2.51
27.66671,85.35001,2013,03,03,    3.17,    3.91,    1.42,    1.26,    4.59,    5.17,    2.77,    2.67
27.66671,85.35001,2013,03,04,    3.19,    3.97,    1.13,    1.02,    4.32,    4.99,    2.26,    2.29
27.66671,85.35001,2013,03,05,    3.35,    4.05,    1.10,    0.95,    4.45,    5.00,    2.53,    2.38
27.66671,85.35001,2013,03,06,    2.70,    3.73,    1.66,    1.20,    4.35,    4.93,    2.81,    2.66
27.66671,85.35001,2013,03,07,    3.42,    4.29,    1.25,    0.94,    4.67,    5.23,    2.56,    2.45
27.66671,85.35001,2013,03,08,    3.84,    4.58,    1.54,    1.15,    5.38,    5.73,    2.95,    2.71
27.66671,85.35001,2013,03,09,    3.76,    4.66,    1.34,    0.96,    5.09,    5.62,    2.94,    2.73
27.66671,85.35001,2013,03,10,    3.65,    4.32,    0.42,    0.29,    4.07,    4.61,    2.07,    2.02
27.66671,85.35001,2013,03,11,    3.54,    4.24,    1.70,    1.29,    5.24,    5.53,    3.29,    2.83
27.66671,85.35001,2013,03,12,    4.15,    4.79,    1.16,    0.96,    5.31,    5.75,    2.84,    2.68
27.66671,85.35001,2013,03,13,    3.23,    4.25,    1.16,    0.85,    4.39,    5.10,    2.42,    2.39
27.66671,85.35001,2013,03,14,    2.52,    3.47,    1.53,    1.12,    4.04,    4.59,    2.66,    2.47
27.66671,85.35001,2013,03,15,    3.53,    4.23,    1.66,    1.15,    5.19,    5.39,    3.18,    2.79
27.66671,85.35001,2013,03,16,    2.93,    3.58,    1.86,    1.47,    4.79,    5.05,    2.90,    2.63
27.66671,85.35001,2013,03,17,    3.94,    4.26,    1.09,    0.83,    5.03,    5.10,    2.64,    2.35
27.66671,85.35001,2013,03,18,    5.17,    5.37,    1.30,    1.23,    6.46,    6.60,    3.31,    3.01
27.66671,85.35001,2013,03,19,    4.28,    5.28,    0.47,    0.31,    4.75,    5.58,    2.21,    2.32
27.66671,85.35001,2013,03,20,    4.70,    5.30,    0.24,    0.36,    4.94,    5.66,    2.61,    2.52
27.66671,85.35001,2013,03,21,    5.10,    5.10,    0.23,    0.10,    5.33,    5.19,    2.76,    2.37
27.66671,85.35001,2013,03,22,    4.52,    5.26,    0.76,    0.59,    5.28,    5.85,    2.83,    2.64
27.66671,85.35001,2013,03,23,    3.31,    4.09,    0.66,    0.55,    3.96,    4.64,    2.31,    2.24
27.66671,85.35001,2013,03,24,    4.54,    5.24,    1.67,    1.19,    6.21,    6.43,    3.31,    3.00
27.66671,85.35001,2013,03,25,    6.67,    6.52,    1.47,    1.06,    8.14,    7.58,    4.26,    3.63
27.66671,85.35001,2013,03,26,    3.81,    4.56,    1.61,    1.17,    5.41,    5.73,    3.19,    2.89
27.66671,85.35001,2013,03,27,    5.11,    5.30,    0.89,    0.80,    6.01,    6.10,    3.10,    2.85
27.66671,85.35001,2013,03,28,    4.14,    4.20,    1.12,    0.99,    5.26,    5.18,    2.74,    2.31
27.66671,85.35001,2013,03,29,    6.90,    6.47,    0.61,    0.67,    7.51,    7.14,    4.00,    3.39
27.66671,85.35001,2013,03,30,    4.27,    4.90,    0.82,    0.51,    5.09,    5.42,    3.40,    3.03
27.66671,85.35001,2013,03,31,    4.01,    4.61,    0.96,    0.72,    4.98,    5.33,    2.94,    2.73
27.66671,85.35001,2013,04,01,    4.59,    4.96,    0.76,    0.59,    5.35,    5.55,    2.59,    2.45
27.66671,85.35001,2013,04,02,    3.96,    4.34,    1.22,    1.07,    5.18,    5.40,    2.85,    2.71
27.66671,85.35001,2013,04,03,    4.74,    4.70,    1.83,    1.49,    6.58,    6.19,    4.12,    3.41
27.66671,85.35001,2013,04,04,    6.79,    6.70,    1.14,    0.86,    7.93,    7.56,    4.40,    3.60
27.66671,85.35001,2013,04,05,    6.90,    6.49,    0.60,    0.69,    7.50,    7.17,    3.38,    3.06
27.66671,85.35001,2013,04,06,    4.97,    5.43,    0.95,    0.93,    5.92,    6.36,    3.01,    2.88
27.66671,85.35001,2013,04,07,    4.98,    5.49,    0.68,    0.70,    5.66,    6.19,    2.99,    2.89
27.66671,85.35001,2013,04,08,    4.83,    5.45,    0.47,    0.45,    5.30,    5.90,    3.03,    2.86
27.66671,85.35001,2013,04,09,    3.58,    4.31,    0.95,    0.70,    4.52,    5.02,    2.66,    2.51
27.66671,85.35001,2013,04,10,    6.04,    6.06,    1.61,    1.02,    7.65,    7.07,    4.10,    3.53
27.66671,85.35001,2013,04,11,    7.82,    8.17,    1.41,    0.77,    9.23,    8.93,    3.57,    3.08
27.66671,85.35001,2013,04,12,    4.40,    4.73,    1.56,    1.11,    5.97,    5.84,    3.39,    2.99
27.66671,85.35001,2013,04,13,    3.71,    4.47,    1.33,    0.88,    5.04,    5.35,    3.24,    2.96
27.66671,85.35001,2013,04,14,    4.89,    4.86,    0.65,    0.73,    5.54,    5.59,    3.58,    3.10
27.66671,85.35001,2013,04,15,    4.59,    5.15,    0.62,    0.33,    5.20,    5.48,    2.68,    2.47
27.66671,85.35001,2013,04,16,    5.02,    5.25,    0.39,    0.33,    5.41,    5.58,    2.72,    2.56
27.66671,85.35001,2013,04,17,    3.53,    4.48,    0.91,    0.53,    4.45,    5.01,    2.79,    2.63
27.66671,85.35001,2013,04,18,    4.62,    5.30,    0.73,    0.58,    5.34,    5.88,    2.96,    2.80
27.66671,85.35001,2013,04,19,    3.27,    4.03,    0.98,    0.80,    4.25,    4.83,    2.63,    2.49
27.66671,85.35001,2013,04,20,    1.17,    2.06,    1.39,    1.01,    2.57,    3.07,    2.27,    1.92
27.66671,85.35001,2013,04,21,    2.47,    2.45,    0.99,    0.71,    3.47,    3.16,    2.19,    1.74
27.66671,85.35001,2013,04,22,    2.76,    3.39,    0.49,    0.55,    3.25,    3.94,    1.92,    1.93
27.66671,85.35001,2013,04,23,    2.68,    3.47,    0.69,    0.59,    3.37,    4.06,    2.01,    1.97
27.66671,85.35001,2013,04,24,    3.46,    4.23,    0.51,    0.36,    3.96,    4.59,    2.39,    2.35
27.66671,85.35001,2013,04,25,    3.99,    4.96,    0.82,    0.63,    4.80,    5.59,    2.48,    2.51
27.66671,85.35001,2013,04,26,    4.18,    4.89,    0.46,    0.37,    4.64,    5.26,    2.53,    2.48
27.66671,85.35001,2013,04,27,    4.50,    5.25,    1.25,    1.01,    5.75,    6.26,    3.30,    3.05
27.66671,85.35001,2013,04,28,    3.87,    4.71,    0.89,    0.76,    4.76,    5.47,    2.62,    2.55
27.66671,85.35001,2013,04,29,    4.23,    5.02,    1.11,    0.91,    5.33,    5.93,    2.86,    2.82
27.66671,85.35001,2013,04,30,    4.55,    4.94,    1.22,    1.05,    5.78,    5.99,    3.23,    2.97
27.66671,85.35001,2013,05,01,    5.59,    5.27,    1.81,    1.49,    7.40,    6.76,    4.29,    3.60
27.66671,85.35001,2013,05,02,    4.04,    4.07,    1.36,    1.24,    5.40,    5.30,    3.35,    2.90
27.66671,85.35001,2013,05,03,    4.35,    4.70,    0.18,    0.22,    4.52,    4.92,    2.44,    2.41
27.66671,85.35001,2013,05,04,    4.19,    4.78,    1.10,    0.85,    5.29,    5.62,    3.22,    2.97
27.66671,85.35001,2013,05,05,    2.99,    4.26,    1.06,    0.66,    4.05,    4.92,    2.58,    2.50
27.66671,85.35001,2013,05,06,    4.00,    4.91,    0.45,    0.35,    4.45,    5.25,    2.49,    2.49
27.66671,85.35001,2013,05,07,    5.17,    5.62,    0.38,    0.40,    5.55,    6.02,    2.79,    2.75
27.66671,85.35001,2013,05,08,    4.50,    5.04,    0.77,    0.65,    5.27,    5.69,    2.94,    2.82
27.66671,85.35001,2013,05,09,    4.22,    4.92,    0.69,    0.56,    4.90,    5.48,    2.73,    2.62
27.66671,85.35001,2013,05,10,    4.66,    4.81,    0.57,    0.89,    5.23,    5.70,    2.75,    2.64
27.66671,85.35001,2013,05,11,    4.83,    5.20,    0.66,    0.55,    5.49,    5.75,    3.00,    2.78
27.66671,85.35001,2013,05,12,    4.60,    4.69,    0.80,    0.86,    5.40,    5.55,    3.11,    2.84
27.66671,85.35001,2013,05,13,    3.96,    4.64,    0.88,    0.65,    4.84,    5.30,    2.89,    2.74
27.66671,85.35001,2013,05,14,    3.76,    4.64,    0.67,    0.49,    4.42,    5.13,    2.47,    2.52
27.66671,85.35001,2013,05,15,    4.11,    4.72,    0.46,    0.36,    4.57,    5.08,    2.66,    2.53
27.66671,85.35001,2013,05,16,    4.12,    4.97,    0.56,    0.39,    4.68,    5.37,    2.66,    2.61
27.66671,85.35001,2013,05,17,    3.32,    4.25,    0.69,    0.46,    4.01,    4.71,    2.37,    2.39
27.66671,85.35001,2013,05,18,    3.60,    4.38,    0.44,    0.49,    4.04,    4.87,    2.37,    2.44
27.66671,85.35001,2013,05,19,    3.88,    4.89,    0.25,    0.24,    4.12,    5.14,    2.22,    2.36
27.66671,85.35001,2013,05,20,    2.47,    3.52,    0.47,    0.38,    2.94,    3.90,    1.83,    1.95
27.66671,85.35001,2013,05,21,    3.61,    4.56,    0.20,    0.13,    3.81,    4.68,    1.95,    2.11
27.66671,85.35001,2013,05,22,    3.26,    4.36,    0.28,    0.19,    3.54,    4.55,    2.10,    2.23
27.66671,85.35001,2013,05,23,    3.50,    4.48,    0.30,    0.34,    3.81,    4.82,    1.95,    2.16
27.66671,85.35001,2013,05,24,    4.08,    5.12,    0.30,    0.19,    4.38,    5.31,    2.09,    2.26
27.66671,85.35001,2013,05,25,    3.37,    4.36,    0.53,    0.41,    3.90,    4.77,    2.11,    2.22
27.66671,85.35001,2013,05,26,    2.98,    4.11,    0.55,    0.36,    3.52,    4.47,    2.06,    2.20
27.66671,85.35001,2013,05,27,    2.67,    3.86,    0.81,    0.50,    3.48,    4.36,    2.14,    2.26
27.66671,85.35001,2013,05,28,    3.92,    4.87,    0.33,    0.23,    4.25,    5.10,    2.31,    2.39
27.66671,85.35001,2013,05,29,    3.01,    4.01,    0.48,    0.40,    3.49,    4.41,    2.20,    2.29
27.66671,85.35001,2013,05,30,    2.58,    3.59,    0.63,    0.49,    3.21,    4.08,    1.70,    1.85
27.66671,85.35001,2013,05,31,    1.77,    2.37,    1.00,    1.09,    2.77,    3.46,    2.19,    2.03
27.66671,85.35001,2013,06,01,    3.58,    3.84,    0.27,    0.20,    3.85,    4.04,    2.07,    1.91
27.66671,85.35001,2013,06,02,    3.02,    4.03,    0.34,    0.20,    3.37,    4.23,    1.98,    2.08
27.66671,85.35001,2013,06,03,    3.37,    4.27,    0.18,    0.10,    3.55,    4.37,    2.14,    2.18
27.66671,85.35001,2013,06,04,    2.79,    3.45,    0.65,    0.84,    3.44,    4.29,    2.26,    2.31
27.66671,85.35001,2013,06,05,    3.16,    4.08,    0.25,    0.24,    3.41,    4.32,    1.90,    2.08
27.66671,85.35001,2013,06,06,    3.44,    4.25,    0.25,    0.10,    3.70,    4.35,    1.92,    2.02
