-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2013 through 12/31/2019 
Location: Latitude  27.6667   Longitude 85.35 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 1653.16 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
PS MERRA2 1/2x1/2 Surface Pressure (kPa) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2MDEW MERRA2 1/2x1/2 Dew/Frost Point at 2 Meters (C) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
T2MWET MERRA2 1/2x1/2 Wet Bulb Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (g/kg) 
TS MERRA2 1/2x1/2 Earth Skin Temperature (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,RH2M,PS,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M
27.66671,85.35001,2013,01,01,    0.00,    3.61,   43.19,   84.00,   10.74,    5.30,   -3.79,   -3.60,   15.23,    4.49,    8.72
27.66671,85.35001,2013,01,02,    0.06,    2.88,   33.65,   84.07,   11.65,    5.43,   -6.77,   -6.42,   16.82,    5.17,    9.08
27.66671,85.35001,2013,01,03,    0.00,    2.99,   38.91,   84.08,   10.75,    4.72,   -6.33,   -6.08,   14.58,    3.84,    7.50
27.66671,85.35001,2013,01,04,    0.00,    2.77,   36.93,   84.09,   11.64,    3.93,   -7.48,   -7.12,   14.69,    3.06,    7.12
27.66671,85.35001,2013,01,05,    0.00,    2.37,   33.48,   83.93,   11.96,    3.07,   -9.67,   -9.06,   13.81,    1.85,    6.29
27.66671,85.35001,2013,01,06,    0.00,    1.82,   28.15,   84.00,   12.17,    1.79,  -12.55,  -11.66,   12.70,    0.54,    4.99
27.66671,85.35001,2013,01,07,    0.00,    1.92,   32.97,   83.93,   11.76,    0.79,  -12.05,  -11.17,   10.87,   -0.89,    3.46
27.66671,85.35001,2013,01,08,    0.00,    2.35,   43.21,   83.88,   11.32,    0.72,   -8.83,   -8.55,    9.66,   -1.66,    2.52
27.66671,85.35001,2013,01,09,    0.00,    2.38,   40.74,   83.92,   10.95,    1.19,   -8.73,   -8.39,   10.52,   -0.43,    3.54
27.66671,85.35001,2013,01,10,    0.00,    2.93,   48.89,   83.79,   11.58,    1.75,   -6.50,   -6.28,   10.95,   -0.63,    3.86
27.66671,85.35001,2013,01,11,    0.00,    3.24,   49.65,   83.91,   12.61,    2.49,   -5.40,   -5.14,   12.78,    0.16,    5.10
27.66671,85.35001,2013,01,12,    0.00,    3.02,   40.76,   84.16,   12.45,    3.89,   -6.02,   -5.79,   14.59,    2.14,    6.99
27.66671,85.35001,2013,01,13,    0.00,    3.53,   43.91,   83.98,   10.05,    5.05,   -3.99,   -3.85,   14.75,    4.71,    8.13
27.66671,85.35001,2013,01,14,    0.00,    4.25,   53.57,   84.01,   10.94,    5.47,   -1.87,   -1.75,   14.68,    3.74,    7.93
27.66671,85.35001,2013,01,15,    0.00,    4.05,   49.98,   84.23,   10.68,    5.49,   -2.86,   -2.66,   15.26,    4.59,    8.30
27.66671,85.35001,2013,01,16,    0.00,    3.22,   38.10,   84.36,   11.59,    5.87,   -6.05,   -5.66,   15.99,    4.40,    8.92
27.66671,85.35001,2013,01,17,    0.55,    3.67,   38.06,   84.44,   11.10,    7.63,   -3.84,   -3.66,   17.72,    6.62,   10.91
27.66671,85.35001,2013,01,18,    2.03,    4.18,   42.30,   84.48,   12.52,    9.01,   -1.73,   -1.65,   18.58,    6.07,   11.29
27.66671,85.35001,2013,01,19,    6.70,    5.93,   78.86,   84.42,    8.25,    6.48,    3.07,    3.08,   11.82,    3.57,    7.20
27.66671,85.35001,2013,01,20,    0.00,    3.55,   49.78,   84.27,   12.00,    4.25,   -5.32,   -4.95,   13.95,    1.95,    6.41
27.66671,85.35001,2013,01,21,    0.00,    2.70,   37.52,   84.37,   11.96,    3.48,   -8.59,   -7.86,   14.25,    2.29,    6.59
27.66671,85.35001,2013,01,22,    0.00,    2.40,   33.81,   84.45,   12.11,    3.43,   -9.20,   -8.71,   14.20,    2.09,    6.41
27.66671,85.35001,2013,01,23,    0.00,    2.32,   33.16,   84.35,   14.28,    3.28,   -9.59,   -9.06,   14.88,    0.60,    6.20
27.66671,85.35001,2013,01,24,    0.00,    2.19,   31.61,   84.29,   12.99,    3.05,  -10.55,   -9.81,   14.15,    1.17,    6.04
27.66671,85.35001,2013,01,25,    0.00,    2.51,   38.12,   84.25,   15.35,    3.35,   -8.63,   -8.25,   14.08,   -1.27,    5.27
27.66671,85.35001,2013,01,26,    0.00,    3.05,   43.60,   84.23,   13.39,    3.97,   -6.19,   -5.90,   13.93,    0.54,    6.16
27.66671,85.35001,2013,01,27,    0.00,    3.08,   41.90,   84.20,   13.37,    4.63,   -6.07,   -5.80,   14.81,    1.44,    6.85
27.66671,85.35001,2013,01,28,    0.00,    2.93,   36.21,   84.24,   13.94,    5.97,   -6.70,   -6.35,   16.40,    2.46,    8.26
27.66671,85.35001,2013,01,29,    0.07,    3.15,   38.68,   84.14,    9.88,    6.02,   -5.43,   -5.25,   14.02,    4.13,    8.33
27.66671,85.35001,2013,01,30,    0.00,    3.42,   42.92,   84.25,   14.46,    6.27,   -4.50,   -4.35,   16.42,    1.96,    8.03
27.66671,85.35001,2013,01,31,    0.00,    3.90,   43.33,   84.35,   11.34,    8.37,   -2.61,   -2.51,   16.70,    5.36,    9.86
27.66671,85.35001,2013,02,01,    0.00,    3.71,   42.45,   84.35,    9.81,    7.73,   -3.17,   -3.07,   15.40,    5.59,    9.41
27.66671,85.35001,2013,02,02,    0.00,    3.76,   44.84,   84.23,   12.43,    7.31,   -3.06,   -2.98,   15.71,    3.29,    8.78
